id_przegladu|data_przegladu|cena|nazwa_firmy_przegladu|adres_firmy_przegladu|id_auta
1|03/09/2020|118|Przeglad Janex|P.O. Box 868, 1839 Ornare. Road|905
2|20/05/2020|193|Przeglad Janex|391-1653 Feugiat Av.|955
3|05/02/2021|156|Autko|P.O. Box 241, 438 Ac St.|168
4|05/03/2021|133|Cztery kolka|Ap #417-8870 Eleifend St.|810
5|02/03/2021|126|Cztery kolka|7269 Condimentum Rd.|845
6|01/08/2020|109|Polskie przeglady|Ap #208-1186 At Avenue|876
7|18/09/2020|115|Polskie przeglady|Ap #162-458 Fusce Road|911
8|18/02/2021|196|Autko|P.O. Box 150, 1712 Dictum Street|806
9|11/04/2021|190|Autko|P.O. Box 273, 5252 Purus, Road|356
10|23/06/2020|106|Polskie przeglady|Ap #647-7431 Scelerisque Ave|718
11|13/08/2020|152|Przeglad Janex|5492 Est, St.|155
12|20/10/2020|107|Polskie przeglady|2408 In Road|600
13|09/06/2020|200|Cztery kolka|531-2656 Vestibulum, Rd.|26
14|20/03/2021|108|Przeglad Janex|242-4103 Vivamus Street|208
15|10/01/2021|171|Cztery kolka|9669 Ante Rd.|424
16|11/11/2020|112|Przeglad Janex|197-8337 Montes, Rd.|783
17|06/01/2021|137|Cztery kolka|P.O. Box 915, 7720 Magna Rd.|220
18|28/12/2020|131|Przeglad Janex|893-8647 Torquent Avenue|449
19|13/11/2020|130|Autko|P.O. Box 244, 6482 Sed Rd.|46
20|01/09/2020|195|Polskie przeglady|494-4165 Volutpat. Rd.|61
21|30/10/2020|166|Polskie przeglady|Ap #165-1910 Etiam Street|421
22|14/06/2020|152|Przeglad Janex|P.O. Box 484, 4284 Facilisi. Street|717
23|20/06/2020|147|Polskie przeglady|4759 Mauris St.|545
24|06/06/2020|129|Cztery kolka|Ap #884-3476 Non Av.|676
25|06/06/2020|105|Autko|4341 Enim Ave|806
26|03/05/2021|118|Przeglad Janex|P.O. Box 457, 3622 Mauris Street|910
27|27/04/2021|187|Cztery kolka|8877 Erat. St.|815
28|10/08/2020|184|Polskie przeglady|240-4265 Adipiscing Ave|191
29|14/06/2020|159|Autko|Ap #997-651 Sed St.|50
30|09/10/2020|135|Cztery kolka|438-2916 Sodales. Street|243
31|03/09/2020|119|Polskie przeglady|507-6199 Non, Rd.|790
32|28/12/2020|164|Cztery kolka|P.O. Box 360, 7623 Tempus Ave|97
33|21/05/2020|134|Cztery kolka|Ap #750-6064 Tristique Street|857
34|17/05/2020|197|Cztery kolka|8439 Purus, Avenue|452
35|05/12/2020|151|Polskie przeglady|468-1588 Dis St.|639
36|20/06/2020|117|Cztery kolka|Ap #581-8076 Auctor Street|373
37|25/05/2020|113|Przeglad Janex|677-6751 Sociis Ave|247
38|13/08/2020|109|Cztery kolka|323-9349 Curabitur Rd.|449
39|22/06/2020|189|Polskie przeglady|P.O. Box 131, 5437 Varius. St.|905
40|13/08/2020|141|Przeglad Janex|Ap #110-8535 Nulla. St.|192
41|03/06/2020|126|Autko|Ap #488-5288 Dictum Street|597
42|29/01/2021|188|Przeglad Janex|Ap #437-1293 Tempus St.|118
43|05/07/2020|128|Przeglad Janex|P.O. Box 813, 4197 Faucibus. Road|908
44|11/03/2021|199|Cztery kolka|Ap #524-4241 At Avenue|162
45|15/06/2020|106|Przeglad Janex|4572 Erat Av.|224
46|15/03/2021|198|Przeglad Janex|7688 Diam Road|403
47|22/01/2021|157|Autko|6660 Egestas. St.|149
48|07/08/2020|155|Polskie przeglady|974-7409 In Av.|135
49|04/01/2021|183|Polskie przeglady|211-2157 Dolor. Av.|78
50|04/07/2020|189|Polskie przeglady|909 Dolor St.|112
51|02/01/2021|159|Polskie przeglady|6668 Mi Road|663
52|27/01/2021|190|Przeglad Janex|Ap #416-259 Imperdiet St.|825
53|30/06/2020|148|Cztery kolka|778-7468 Lorem. Rd.|363
54|21/01/2021|184|Cztery kolka|8967 Dis Ave|595
55|01/12/2020|153|Przeglad Janex|Ap #559-7357 Vivamus St.|874
56|10/03/2021|153|Przeglad Janex|Ap #104-1625 Elementum, Ave|338
57|10/10/2020|175|Polskie przeglady|P.O. Box 221, 1129 Sodales Street|21
58|05/10/2020|173|Polskie przeglady|174-4494 Ipsum Avenue|165
59|25/12/2020|196|Cztery kolka|P.O. Box 374, 1935 Turpis. St.|177
60|20/03/2021|164|Przeglad Janex|P.O. Box 699, 2992 Iaculis St.|161
61|01/03/2021|169|Cztery kolka|P.O. Box 705, 4422 Nisl Road|644
62|01/01/2021|184|Przeglad Janex|Ap #748-6428 Velit Road|925
63|10/01/2021|190|Przeglad Janex|Ap #239-751 Egestas. Road|39
64|17/11/2020|131|Cztery kolka|295-9749 Sollicitudin Street|897
65|15/02/2021|186|Cztery kolka|1184 Nisi. Avenue|710
66|06/10/2020|145|Polskie przeglady|2998 Euismod St.|942
67|18/02/2021|199|Polskie przeglady|216-3488 Sed St.|865
68|25/11/2020|135|Polskie przeglady|Ap #549-500 Vitae St.|490
69|29/10/2020|161|Przeglad Janex|Ap #597-5004 Nullam Ave|829
70|13/05/2020|149|Polskie przeglady|Ap #263-4333 Dictum Street|858
71|02/06/2020|104|Autko|6672 Euismod Street|803
72|01/07/2020|190|Polskie przeglady|P.O. Box 782, 5945 Donec St.|560
73|03/06/2020|125|Autko|Ap #913-526 Sit Rd.|691
74|03/05/2021|133|Cztery kolka|P.O. Box 440, 4111 Nisi Rd.|753
75|29/10/2020|118|Przeglad Janex|Ap #966-7582 Ac, Avenue|238
76|21/07/2020|152|Polskie przeglady|P.O. Box 325, 1749 Ac Street|148
77|22/06/2020|195|Autko|P.O. Box 724, 5056 Tellus St.|629
78|04/01/2021|145|Cztery kolka|928-8553 Morbi Avenue|106
79|31/12/2020|116|Autko|P.O. Box 151, 1169 Diam Av.|245
80|19/07/2020|120|Cztery kolka|956-506 Faucibus Road|877
81|03/09/2020|158|Przeglad Janex|270-7547 Sagittis Av.|260
82|27/01/2021|129|Autko|823-6497 Ipsum Rd.|377
83|05/06/2020|104|Przeglad Janex|P.O. Box 531, 1140 Nunc St.|180
84|15/04/2021|135|Przeglad Janex|Ap #645-6991 Turpis. Rd.|497
85|13/05/2020|187|Przeglad Janex|P.O. Box 704, 9377 Semper St.|737
86|30/04/2021|104|Autko|Ap #922-1787 Tortor, Ave|733
87|30/11/2020|109|Przeglad Janex|264-2318 Ut Rd.|963
88|19/10/2020|168|Cztery kolka|P.O. Box 712, 390 Eu Road|158
89|05/10/2020|142|Cztery kolka|Ap #261-8341 Turpis Avenue|865
90|11/12/2020|192|Autko|9535 Nunc Av.|13
91|23/12/2020|117|Cztery kolka|2361 Amet Av.|1000
92|30/08/2020|153|Autko|8876 Tristique Street|218
93|03/07/2020|165|Autko|3139 Leo. Avenue|663
94|10/10/2020|173|Przeglad Janex|720-4075 Massa. Rd.|217
95|02/01/2021|154|Cztery kolka|P.O. Box 300, 6741 Pede Road|973
96|05/03/2021|111|Autko|P.O. Box 921, 400 Vulputate, St.|460
97|02/01/2021|158|Cztery kolka|Ap #949-8326 Ultrices St.|123
98|27/07/2020|116|Polskie przeglady|Ap #518-8647 Orci, Rd.|419
99|01/05/2021|144|Cztery kolka|P.O. Box 369, 1645 Luctus, Street|214
100|22/12/2020|176|Cztery kolka|Ap #678-4313 Gravida. Rd.|447
101|26/12/2020|177|Przeglad Janex|P.O. Box 736, 7301 Pharetra Street|22
102|22/05/2020|112|Cztery kolka|Ap #462-4476 Nec St.|831
103|01/07/2020|162|Polskie przeglady|P.O. Box 361, 1338 Lectus. Rd.|501
104|07/12/2020|174|Autko|5698 Sollicitudin St.|754
