id_stanowiska,nazwa_stanowiska,opis
1,Obsluga Klienta,opis
2,Obsluga Klienta,opis
3,Obsluga Klienta,opis
4,Obsluga Klienta,opis
5,Asystent,opis
6,Obsluga Klienta,opis
7,Kierownik,opis
8,Koordynator,opis
9,Koordynator,opis
10,Asystent,opis
11,Kierownik,opis
12,Asystent,opis
13,Asystent,opis
14,Obsluga Klienta,opis
15,Asystent,opis
16,Asystent,opis
17,Obsluga Klienta,opis
18,Kierownik,opis
19,Koordynator,opis
20,Asystent,opis
21,Asystent,opis
22,Obsluga Klienta,opis
23,Koordynator,opis
24,Obsluga Klienta,opis
25,Koordynator,opis
26,Asystent,opis
27,Koordynator,opis
28,Koordynator,opis
29,Koordynator,opis
30,Obsluga Klienta,opis
31,Kierownik,opis
32,Obsluga Klienta,opis
33,Asystent,opis
34,Asystent,opis
35,Asystent,opis
36,Asystent,opis
37,Asystent,opis
38,Kierownik,opis
39,Obsluga Klienta,opis
40,Kierownik,opis
41,Kierownik,opis
42,Asystent,opis
43,Asystent,opis
44,Kierownik,opis
45,Obsluga Klienta,opis
46,Kierownik,opis
47,Obsluga Klienta,opis
48,Koordynator,opis
49,Koordynator,opis
50,Koordynator,opis
51,Koordynator,opis
52,Obsluga Klienta,opis
53,Obsluga Klienta,opis
54,Obsluga Klienta,opis
55,Kierownik,opis
56,Asystent,opis
57,Kierownik,opis
58,Asystent,opis
59,Asystent,opis
60,Kierownik,opis
61,Obsluga Klienta,opis
62,Kierownik,opis
63,Kierownik,opis
64,Kierownik,opis
65,Kierownik,opis
66,Koordynator,opis
67,Koordynator,opis
68,Obsluga Klienta,opis
69,Koordynator,opis
70,Asystent,opis
71,Asystent,opis
72,Asystent,opis
73,Asystent,opis
74,Kierownik,opis
75,Kierownik,opis
76,Asystent,opis
77,Asystent,opis
78,Obsluga Klienta,opis
79,Kierownik,opis
80,Obsluga Klienta,opis
81,Koordynator,opis
82,Obsluga Klienta,opis
83,Koordynator,opis
84,Asystent,opis
85,Kierownik,opis
86,Asystent,opis
87,Kierownik,opis
88,Kierownik,opis
89,Obsluga Klienta,opis
90,Koordynator,opis
91,Asystent,opis
92,Koordynator,opis
93,Asystent,opis
94,Obsluga Klienta,opis
95,Asystent,opis
96,Asystent,opis
97,Asystent,opis
98,Asystent,opis
99,Asystent,opis
100,Kierownik,opis
101,Koordynator,opis
102,Kierownik,opis
103,Obsluga Klienta,opis
104,Asystent,opis
105,Obsluga Klienta,opis
106,Kierownik,opis
107,Koordynator,opis
108,Asystent,opis
109,Obsluga Klienta,opis
110,Obsluga Klienta,opis
111,Kierownik,opis
112,Koordynator,opis
113,Koordynator,opis
114,Asystent,opis
115,Obsluga Klienta,opis
116,Koordynator,opis
117,Koordynator,opis
118,Koordynator,opis
119,Kierownik,opis
120,Asystent,opis
121,Asystent,opis
122,Koordynator,opis
123,Obsluga Klienta,opis
124,Asystent,opis
125,Kierownik,opis
126,Obsluga Klienta,opis
127,Kierownik,opis
128,Koordynator,opis
129,Asystent,opis
130,Obsluga Klienta,opis
131,Kierownik,opis
132,Obsluga Klienta,opis
133,Kierownik,opis
134,Kierownik,opis
135,Koordynator,opis
136,Obsluga Klienta,opis
137,Kierownik,opis
138,Obsluga Klienta,opis
139,Kierownik,opis
140,Kierownik,opis
141,Koordynator,opis
142,Obsluga Klienta,opis
143,Kierownik,opis
144,Asystent,opis
145,Obsluga Klienta,opis
146,Koordynator,opis
147,Asystent,opis
148,Koordynator,opis
149,Obsluga Klienta,opis
150,Obsluga Klienta,opis
151,Obsluga Klienta,opis
152,Asystent,opis
153,Asystent,opis
154,Obsluga Klienta,opis
155,Asystent,opis
156,Obsluga Klienta,opis
157,Kierownik,opis
158,Asystent,opis
159,Obsluga Klienta,opis
160,Asystent,opis
161,Obsluga Klienta,opis
162,Kierownik,opis
163,Obsluga Klienta,opis
164,Asystent,opis
165,Obsluga Klienta,opis
166,Koordynator,opis
167,Asystent,opis
168,Obsluga Klienta,opis
169,Kierownik,opis
170,Obsluga Klienta,opis
171,Koordynator,opis
172,Asystent,opis
173,Kierownik,opis
174,Asystent,opis
175,Asystent,opis
176,Kierownik,opis
177,Obsluga Klienta,opis
178,Koordynator,opis
179,Koordynator,opis
180,Kierownik,opis
181,Koordynator,opis
182,Asystent,opis
183,Koordynator,opis
184,Obsluga Klienta,opis
185,Koordynator,opis
186,Koordynator,opis
187,Koordynator,opis
188,Asystent,opis
189,Koordynator,opis
190,Obsluga Klienta,opis
191,Asystent,opis
192,Kierownik,opis
193,Asystent,opis
194,Asystent,opis
195,Asystent,opis
196,Koordynator,opis
197,Asystent,opis
198,Asystent,opis
199,Koordynator,opis
200,Asystent,opis
201,Asystent,opis
202,Koordynator,opis
203,Kierownik,opis
204,Asystent,opis
205,Kierownik,opis
206,Asystent,opis
207,Obsluga Klienta,opis
208,Obsluga Klienta,opis
209,Kierownik,opis
210,Obsluga Klienta,opis
211,Kierownik,opis
212,Asystent,opis
213,Obsluga Klienta,opis
214,Asystent,opis
215,Asystent,opis
216,Koordynator,opis
217,Asystent,opis
218,Obsluga Klienta,opis
219,Koordynator,opis
220,Kierownik,opis
221,Obsluga Klienta,opis
222,Koordynator,opis
223,Obsluga Klienta,opis
224,Obsluga Klienta,opis
225,Kierownik,opis
226,Kierownik,opis
227,Obsluga Klienta,opis
228,Kierownik,opis
229,Koordynator,opis
230,Asystent,opis
231,Obsluga Klienta,opis
232,Obsluga Klienta,opis
233,Asystent,opis
234,Asystent,opis
235,Asystent,opis
236,Koordynator,opis
237,Asystent,opis
238,Obsluga Klienta,opis
239,Asystent,opis
240,Kierownik,opis
241,Koordynator,opis
242,Obsluga Klienta,opis
243,Kierownik,opis
244,Obsluga Klienta,opis
245,Koordynator,opis
246,Koordynator,opis
247,Kierownik,opis
248,Asystent,opis
249,Obsluga Klienta,opis
250,Obsluga Klienta,opis
251,Koordynator,opis
252,Asystent,opis
253,Koordynator,opis
254,Obsluga Klienta,opis
255,Kierownik,opis
256,Kierownik,opis
257,Koordynator,opis
258,Obsluga Klienta,opis
259,Asystent,opis
260,Obsluga Klienta,opis
261,Koordynator,opis
262,Obsluga Klienta,opis
263,Obsluga Klienta,opis
264,Kierownik,opis
265,Asystent,opis
266,Asystent,opis
267,Obsluga Klienta,opis
268,Asystent,opis
269,Kierownik,opis
270,Obsluga Klienta,opis
271,Kierownik,opis
272,Koordynator,opis
273,Asystent,opis
274,Asystent,opis
275,Obsluga Klienta,opis
276,Asystent,opis
277,Asystent,opis
278,Asystent,opis
279,Obsluga Klienta,opis
280,Kierownik,opis
281,Asystent,opis
282,Koordynator,opis
283,Asystent,opis
284,Kierownik,opis
285,Obsluga Klienta,opis
286,Koordynator,opis
287,Kierownik,opis
288,Asystent,opis
289,Kierownik,opis
290,Asystent,opis
291,Koordynator,opis
292,Koordynator,opis
293,Koordynator,opis
294,Obsluga Klienta,opis
295,Kierownik,opis
296,Kierownik,opis
297,Asystent,opis
298,Obsluga Klienta,opis
299,Koordynator,opis
300,Obsluga Klienta,opis
301,Asystent,opis
302,Obsluga Klienta,opis
303,Obsluga Klienta,opis
304,Obsluga Klienta,opis
305,Asystent,opis
306,Obsluga Klienta,opis
307,Koordynator,opis
308,Kierownik,opis
309,Obsluga Klienta,opis
310,Asystent,opis
311,Asystent,opis
312,Obsluga Klienta,opis
313,Kierownik,opis
314,Kierownik,opis
315,Kierownik,opis
316,Obsluga Klienta,opis
317,Kierownik,opis
318,Koordynator,opis
319,Obsluga Klienta,opis
320,Koordynator,opis
321,Obsluga Klienta,opis
322,Asystent,opis
323,Obsluga Klienta,opis
324,Asystent,opis
325,Koordynator,opis
326,Koordynator,opis
327,Asystent,opis
328,Obsluga Klienta,opis
329,Kierownik,opis
330,Asystent,opis
331,Obsluga Klienta,opis
332,Asystent,opis
333,Koordynator,opis
334,Obsluga Klienta,opis
335,Obsluga Klienta,opis
336,Kierownik,opis
337,Kierownik,opis
338,Kierownik,opis
339,Kierownik,opis
340,Asystent,opis
341,Kierownik,opis
342,Kierownik,opis
343,Obsluga Klienta,opis
344,Kierownik,opis
345,Asystent,opis
346,Kierownik,opis
347,Kierownik,opis
348,Obsluga Klienta,opis
349,Kierownik,opis
350,Koordynator,opis
351,Obsluga Klienta,opis
352,Obsluga Klienta,opis
353,Obsluga Klienta,opis
354,Kierownik,opis
355,Obsluga Klienta,opis
356,Koordynator,opis
357,Asystent,opis
358,Obsluga Klienta,opis
359,Asystent,opis
360,Koordynator,opis
361,Koordynator,opis
362,Obsluga Klienta,opis
363,Kierownik,opis
364,Kierownik,opis
365,Kierownik,opis
366,Obsluga Klienta,opis
367,Koordynator,opis
368,Koordynator,opis
369,Kierownik,opis
370,Obsluga Klienta,opis
371,Obsluga Klienta,opis
372,Koordynator,opis
373,Kierownik,opis
374,Asystent,opis
375,Koordynator,opis
376,Obsluga Klienta,opis
377,Asystent,opis
378,Obsluga Klienta,opis
379,Obsluga Klienta,opis
380,Kierownik,opis
381,Koordynator,opis
382,Obsluga Klienta,opis
383,Kierownik,opis
384,Obsluga Klienta,opis
385,Asystent,opis
386,Asystent,opis
387,Koordynator,opis
388,Asystent,opis
389,Obsluga Klienta,opis
390,Koordynator,opis
391,Koordynator,opis
392,Asystent,opis
393,Asystent,opis
394,Kierownik,opis
395,Koordynator,opis
396,Obsluga Klienta,opis
397,Asystent,opis
398,Asystent,opis
399,Obsluga Klienta,opis
400,Kierownik,opis
401,Kierownik,opis
402,Koordynator,opis
403,Asystent,opis
404,Kierownik,opis
405,Koordynator,opis
406,Kierownik,opis
407,Obsluga Klienta,opis
408,Asystent,opis
409,Obsluga Klienta,opis
410,Koordynator,opis
411,Asystent,opis
412,Kierownik,opis
413,Asystent,opis
414,Kierownik,opis
415,Kierownik,opis
416,Obsluga Klienta,opis
417,Obsluga Klienta,opis
418,Obsluga Klienta,opis
419,Asystent,opis
420,Kierownik,opis
421,Kierownik,opis
422,Asystent,opis
423,Koordynator,opis
424,Asystent,opis
425,Kierownik,opis
426,Kierownik,opis
427,Asystent,opis
428,Kierownik,opis
429,Koordynator,opis
430,Obsluga Klienta,opis
431,Kierownik,opis
432,Kierownik,opis
433,Asystent,opis
434,Asystent,opis
435,Koordynator,opis
436,Obsluga Klienta,opis
437,Koordynator,opis
438,Obsluga Klienta,opis
439,Obsluga Klienta,opis
440,Kierownik,opis
441,Kierownik,opis
442,Obsluga Klienta,opis
443,Asystent,opis
444,Kierownik,opis
445,Obsluga Klienta,opis
446,Asystent,opis
447,Kierownik,opis
448,Obsluga Klienta,opis
449,Kierownik,opis
450,Obsluga Klienta,opis
451,Asystent,opis
452,Kierownik,opis
453,Asystent,opis
454,Asystent,opis
455,Koordynator,opis
456,Obsluga Klienta,opis
457,Koordynator,opis
458,Asystent,opis
459,Kierownik,opis
460,Koordynator,opis
461,Asystent,opis
462,Obsluga Klienta,opis
463,Asystent,opis
464,Obsluga Klienta,opis
465,Obsluga Klienta,opis
466,Koordynator,opis
467,Kierownik,opis
468,Koordynator,opis
469,Kierownik,opis
470,Koordynator,opis
471,Asystent,opis
472,Koordynator,opis
473,Koordynator,opis
474,Koordynator,opis
475,Asystent,opis
476,Obsluga Klienta,opis
477,Asystent,opis
478,Kierownik,opis
479,Kierownik,opis
480,Asystent,opis
481,Asystent,opis
482,Obsluga Klienta,opis
483,Obsluga Klienta,opis
484,Asystent,opis
485,Obsluga Klienta,opis
486,Obsluga Klienta,opis
487,Obsluga Klienta,opis
488,Obsluga Klienta,opis
489,Kierownik,opis
490,Asystent,opis
491,Kierownik,opis
492,Asystent,opis
493,Asystent,opis
494,Obsluga Klienta,opis
495,Obsluga Klienta,opis
496,Koordynator,opis
497,Obsluga Klienta,opis
498,Obsluga Klienta,opis
499,Asystent,opis
500,Obsluga Klienta,opis
501,Koordynator,opis
502,Obsluga Klienta,opis
