id_wypozyczenia,id_pracownika,id_auta,id_klienta,id_rodzaj_wypozyczenia,stan_licznika_przed,data_wypozyczenia,id_rezerwacji,id_oddzialu,uwagi
1,895,292,986,816,529444,07/04/2022,680,749,uwagi
2,59,646,819,483,525647,07/04/2022,11,542,uwagi
3,577,999,662,139,540664,14/04/2022,425,512,uwagi
4,144,709,977,376,582503,05/04/2022,532,162,uwagi
5,960,766,313,854,505682,10/04/2022,299,670,uwagi
6,352,979,418,410,562337,05/04/2022,236,892,uwagi
7,880,246,433,457,524328,09/04/2022,95,596,uwagi
8,650,520,108,794,522830,19/04/2022,84,170,uwagi
9,54,616,331,13,538025,10/04/2022,644,867,uwagi
10,438,942,536,789,592011,13/04/2022,953,198,uwagi
11,544,188,90,424,543288,14/04/2022,523,881,uwagi
12,677,617,476,327,513637,19/04/2022,583,120,uwagi
13,365,667,290,419,528128,11/04/2022,620,431,uwagi
14,662,264,297,99,520479,07/04/2022,833,887,uwagi
15,125,785,85,669,597257,08/04/2022,175,92,uwagi
16,406,697,972,82,531350,11/04/2022,448,408,uwagi
17,450,31,528,815,569648,07/04/2022,817,233,uwagi
18,978,437,664,640,569945,05/04/2022,961,738,uwagi
19,905,793,625,30,557733,08/04/2022,710,698,uwagi
20,550,885,790,956,558078,12/04/2022,762,37,uwagi
21,895,209,445,345,523883,14/04/2022,973,159,uwagi
22,936,789,392,914,522517,16/04/2022,55,553,uwagi
23,925,15,291,829,580676,07/04/2022,916,859,uwagi
24,385,625,556,934,550905,10/04/2022,345,890,uwagi
25,90,106,927,985,531429,12/04/2022,371,329,uwagi
26,554,343,487,489,513169,17/04/2022,879,402,uwagi
27,357,933,954,282,594684,12/04/2022,245,111,uwagi
28,754,160,969,138,578424,07/04/2022,524,72,uwagi
29,294,869,961,384,597447,19/04/2022,888,368,uwagi
30,289,259,696,842,560093,13/04/2022,183,331,uwagi
31,733,61,732,90,599312,15/04/2022,686,371,uwagi
32,940,930,482,694,508914,09/04/2022,450,832,uwagi
33,874,974,903,167,584229,05/04/2022,864,550,uwagi
34,817,751,918,106,500900,06/04/2022,613,948,uwagi
35,610,795,278,343,585552,14/04/2022,10,433,uwagi
36,849,696,804,789,562499,18/04/2022,285,483,uwagi
37,715,735,314,588,570762,18/04/2022,217,755,uwagi
38,550,81,304,367,583106,13/04/2022,221,473,uwagi
39,841,834,420,451,562839,19/04/2022,698,793,uwagi
40,484,707,225,333,540187,18/04/2022,28,122,uwagi
41,27,312,604,741,504594,08/04/2022,917,329,uwagi
42,754,133,83,304,521286,06/04/2022,387,671,uwagi
43,44,608,143,884,544116,13/04/2022,562,334,uwagi
44,70,260,127,554,596576,18/04/2022,352,886,uwagi
